,City,State,Population,Latitude,Longitude,Cluster Labels,Cluster Names,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Mumbai,Maharashtra,13597924.0,18.9387711,72.8353355,0,Food Hubs,Café,Ice Cream Shop,Hotel,Indian Restaurant,Scenic Lookout,Cricket Ground,Pizza Place,Dessert Shop,Fast Food Restaurant,Diner
1,Delhi,Delhi,11007835.0,28.6517178,77.22193879999999,4,Indian Cuisine Restaurants,Indian Restaurant,Hotel,Lounge,Café,Monument / Landmark,Bar,South Indian Restaurant,Bakery,Molecular Gastronomy Restaurant,Boutique
2,Bengaluru,Karnataka,8425970.0,12.979119800000001,77.5912997,0,Food Hubs,Hotel,Ice Cream Shop,Park,Bakery,Department Store,Indian Restaurant,Pub,Steakhouse,Brewery,Breakfast Spot
3,Ahmedabad,Gujarat,7208200.0,23.0216238,72.5797068,0,Food Hubs,Café,Dessert Shop,Indian Restaurant,Tea Room,Multiplex,Clothing Store,Coffee Shop,History Museum,Snack Place,Fast Food Restaurant
4,Hyderabad,Telangana,6809970.0,17.38878595,78.46106473453145,0,Food Hubs,Indian Restaurant,Bakery,Ice Cream Shop,Hotel,South Indian Restaurant,Chaat Place,Multiplex,Café,Juice Bar,Snack Place
5,Chennai,Tamil Nadu,4681087.0,13.080172099999999,80.2838331,0,Food Hubs,Indian Restaurant,Italian Restaurant,Juice Bar,Hotel,Bar,Vegetarian / Vegan Restaurant,Café,Multiplex,Park,Gaming Cafe
6,Kolkata,West Bengal,4486679.0,22.54541245,88.3567751581234,0,Food Hubs,Chinese Restaurant,Hotel,Indian Restaurant,Indian Sweet Shop,Mughlai Restaurant,Dhaba,Shopping Mall,Bengali Restaurant,Nightclub,Bookstore
7,Pune,Maharashtra,3760636.0,18.521428,73.8544541,0,Food Hubs,Italian Restaurant,Bakery,Snack Place,Lounge,Indian Restaurant,Pub,Coffee Shop,South Indian Restaurant,Fast Food Restaurant,Ice Cream Shop
8,Jaipur,Rajasthan,3073350.0,26.916194,75.820349,0,Food Hubs,Hotel,Indian Restaurant,Historic Site,Café,Ice Cream Shop,Palace,Hostel,Tea Room,Lounge,Garden
9,Surat,Gujarat,2876374.0,21.186460699999998,72.80812809999999,0,Food Hubs,Indian Restaurant,Restaurant,Fast Food Restaurant,Multiplex,Chinese Restaurant,Tea Room,Café,Pizza Place,Ice Cream Shop,Hotel
10,Lucknow,Uttar Pradesh,2815601.0,26.8381,80.9346001,0,Food Hubs,Indian Restaurant,Fast Food Restaurant,Hotel,Shopping Mall,Bakery,Café,Pizza Place,Ice Cream Shop,Multiplex,Market
11,Kanpur,Uttar Pradesh,2767031.0,26.4609135,80.3217588,0,Food Hubs,Fast Food Restaurant,Shopping Mall,Café,Multiplex,Pizza Place,Bakery,Market,Diner,Train Station,Dessert Shop
12,Nagpur,Maharashtra,2405421.0,21.1498134,79.0820556,0,Food Hubs,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Lounge,Hotel,Plaza,Coffee Shop,Shopping Mall,Snack Place,Sandwich Place
13,Patna,Bihar,2231554.0,25.609323899999996,85.1235252,0,Food Hubs,Pizza Place,Hotel,Café,Park,Indian Restaurant,Fast Food Restaurant,American Restaurant,Chinese Restaurant,Department Store,Train Station
14,Indore,Madhya Pradesh,1960631.0,22.7203616,75.8681996,0,Food Hubs,Indian Restaurant,Coffee Shop,Fast Food Restaurant,Hotel,Ice Cream Shop,Sandwich Place,Café,Multiplex,Shopping Mall,Pizza Place
15,Thane,Maharashtra,1818872.0,19.1943294,72.97017790000001,0,Food Hubs,Indian Restaurant,Coffee Shop,Dessert Shop,Pub,Café,Shopping Mall,Ice Cream Shop,Scenic Lookout,Gym / Fitness Center,Donut Shop
16,Bhopal,Madhya Pradesh,1795648.0,23.258485699999998,77.401989,0,Food Hubs,Pizza Place,Indian Restaurant,Bakery,Coffee Shop,Asian Restaurant,Fast Food Restaurant,Department Store,Café,Hotel,Train Station
17,Visakhapatnam,Andhra Pradesh,1730320.0,17.7231276,83.30128420000001,0,Food Hubs,Café,Hotel,Restaurant,Ice Cream Shop,Indian Restaurant,Multiplex,Coffee Shop,Snack Place,Mountain,Food Court
18,Vadodara,Gujarat,1666703.0,22.2973142,73.1942567,0,Food Hubs,Fast Food Restaurant,Indian Restaurant,Multiplex,Italian Restaurant,Café,Shopping Mall,Asian Restaurant,Sandwich Place,BBQ Joint,Snack Place
19,Firozabad,Uttar Pradesh,1645675.0,27.17736635,78.38991197951181,0,Food Hubs,Asian Restaurant,Bed & Breakfast,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
20,Ludhiana,Punjab,1613878.0,30.9090157,75.851601,0,Food Hubs,Café,Fast Food Restaurant,Shopping Mall,Multiplex,Pizza Place,Indian Restaurant,Coffee Shop,Sandwich Place,Clothing Store,Park
21,Rajkot,Gujarat,1606745.0,22.3051991,70.80283349999999,0,Food Hubs,Indian Restaurant,Pizza Place,Fast Food Restaurant,Hotel,Shopping Mall,Restaurant,Department Store,Tea Room,Playground,Multiplex
22,Agra,Uttar Pradesh,1574542.0,27.1752554,78.0098161,0,Food Hubs,Hotel,Indian Restaurant,Historic Site,Multicuisine Indian Restaurant,Fast Food Restaurant,Pizza Place,Coffee Shop,Café,Market,Resort
23,Siliguri,West Bengal,1572000.0,26.7164127,88.4309916,0,Food Hubs,Pizza Place,Multiplex,Train Station,Shopping Mall,Coffee Shop,Fast Food Restaurant,Sandwich Place,Food,Flea Market,Exhibit
24,Nashik,Maharashtra,1486973.0,20.0112475,73.79023640000001,0,Food Hubs,Indian Restaurant,Café,Hotel,Pizza Place,Bakery,Juice Bar,Multiplex,Shopping Mall,Breakfast Spot,Snack Place
25,Faridabad,Haryana,1404653.0,28.402836999999998,77.30856259999999,0,Food Hubs,Pizza Place,Hotel,Indian Restaurant,Fast Food Restaurant,Multiplex,Shopping Mall,Café,Restaurant,Train Station,Fried Chicken Joint
26,Patiala,Punjab,1354686.0,30.2090874,76.33987208562209,0,Food Hubs,Toll Booth,Stadium,Hotel,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
27,Meerut,Uttar Pradesh,1309023.0,28.916666999999997,77.68333299999999,0,Food Hubs,Indian Restaurant,Juice Bar,Food Court,Fried Chicken Joint,Flea Market,Fast Food Restaurant,Market,Café,Restaurant,Sandwich Place
28,Kalyan-Dombivali,Maharashtra,1246381.0,19.2334875,73.1182464,0,Food Hubs,Café,Fast Food Restaurant,Pizza Place,Ice Cream Shop,Indian Restaurant,Juice Bar,Hookah Bar,Garden,Food Court,Beer Garden
29,Vasai-Virar,Maharashtra,1221233.0,19.4258788,72.8224901,0,Food Hubs,Indian Restaurant,Fast Food Restaurant,Restaurant,Pizza Place,Ice Cream Shop,Multiplex,Beach,Asian Restaurant,Dhaba,Theme Park
30,Varanasi,Uttar Pradesh,1201815.0,25.3356491,83.0076292,0,Food Hubs,Hotel,Indian Restaurant,Pizza Place,Café,Hostel,History Museum,Shopping Mall,Dessert Shop,Temple,Historic Site
31,Srinagar,Jammu and Kashmir,1192792.0,34.07474439999999,74.82044429999999,0,Food Hubs,Garden,Café,Hotel,Shopping Mall,Indian Restaurant,Resort,Lake,Park,Chinese Restaurant,Mountain
32,Dhanbad,Jharkhand,1161561.0,23.795280899999998,86.43096379999999,0,Food Hubs,Pizza Place,Train Station,Clothing Store,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
33,Jodhpur,Rajasthan,1137000.0,26.2967719,73.0351433,0,Food Hubs,Hotel,Indian Restaurant,Café,Bed & Breakfast,Restaurant,Fast Food Restaurant,Historic Site,Park,Multiplex,Lounge
34,Amritsar,Punjab,1132761.0,31.634308299999997,74.8736788,0,Food Hubs,Indian Restaurant,Pizza Place,Hotel,Fast Food Restaurant,Café,Shopping Mall,Diner,Resort,Coffee Shop,Museum
35,Raipur,Chhattisgarh,1122555.0,21.237946899999997,81.6336833,0,Food Hubs,Café,Hotel,Multiplex,Shopping Mall,Fast Food Restaurant,Pizza Place,Indian Restaurant,Pub,Department Store,Italian Restaurant
36,Allahabad,Uttar Pradesh,1117094.0,25.4381302,81.8338005,0,Food Hubs,Train Station,Fast Food Restaurant,Pizza Place,Clothing Store,River,Restaurant,Shopping Mall,Multiplex,Café,Airport
37,Coimbatore,Tamil Nadu,1061447.0,11.0018115,76.96284250000001,0,Food Hubs,Indian Restaurant,Ice Cream Shop,Hotel,Vegetarian / Vegan Restaurant,Asian Restaurant,Italian Restaurant,Café,Multiplex,Shopping Mall,Burger Joint
38,Jabalpur,Madhya Pradesh,1054336.0,23.1608938,79.9497702,0,Food Hubs,Café,Fast Food Restaurant,Pizza Place,Asian Restaurant,Clothing Store,Shopping Mall,Chinese Restaurant,Exhibit,Fabric Shop,Factory
39,Gwalior,Madhya Pradesh,1053505.0,26.2037247,78.1573628,0,Food Hubs,Train Station,Historic Site,Multiplex,Shopping Mall,Fast Food Restaurant,History Museum,Café,Coffee Shop,Pizza Place,Food & Drink Shop
40,Vijayawada,Andhra Pradesh,1048240.0,16.5087586,80.6185102,0,Food Hubs,Indian Restaurant,Multiplex,Hotel,Coffee Shop,Ice Cream Shop,Fast Food Restaurant,Shopping Mall,Bakery,Pizza Place,Café
41,Madurai,Tamil Nadu,1016885.0,9.926115300000001,78.1140983,4,Indian Cuisine Restaurants,Indian Restaurant,Hotel,Shopping Mall,Movie Theater,Café,Bakery,Multiplex,Ice Cream Shop,Cupcake Shop,Fried Chicken Joint
42,Guwahati,Assam,963429.0,26.1805978,91.753943,0,Food Hubs,Coffee Shop,Pizza Place,Clothing Store,Fast Food Restaurant,Hotel,Indian Restaurant,Chinese Restaurant,Café,Lounge,Asian Restaurant
43,Chandigarh,Chandigarh,960787.0,30.67426765,76.79111131528913,0,Food Hubs,Café,Hotel,Indian Restaurant,Bakery,American Restaurant,Multiplex,Chinese Restaurant,Clothing Store,Sporting Goods Shop,Spanish Restaurant
44,Hubli-Dharwad,Karnataka,943857.0,15.3518378,75.1379848,0,Food Hubs,Hotel,Indian Restaurant,Café,Shopping Mall,Diner,Food Court,Food,Multiplex,Breakfast Spot,Fast Food Restaurant
45,Amroha,Uttar Pradesh,897135.0,28.923396899999997,78.48831693262684,2,ATM Hubs,ATM,Pharmacy,Women's Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
46,Moradabad,Uttar Pradesh,889810.0,28.8638424,78.80577833091104,0,Food Hubs,Multiplex,Indian Restaurant,Pizza Place,Department Store,Restaurant,Resort,Café,Fast Food Restaurant,Exhibit,Fabric Shop
47,Gurgaon,Haryana,876824.0,28.42826235,77.00270014657752,0,Food Hubs,Indian Restaurant,Café,Hotel,Brewery,Sandwich Place,Pizza Place,Italian Restaurant,Pub,Bar,Supermarket
48,Aligarh,Uttar Pradesh,872575.0,27.87698975,78.13729027600994,0,Food Hubs,Fast Food Restaurant,Café,Platform,Coffee Shop,Soccer Field,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant
49,Solapur,Maharashtra,872478.0,17.84990665,75.27632027348456,3,Mobile Stores and Women utility,Mobile Phone Shop,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
50,Ranchi,Jharkhand,863495.0,23.3700354,85.3250132,0,Food Hubs,Indian Restaurant,Shopping Mall,Café,Pizza Place,Hotel Bar,Hotel,Stadium,Multiplex,Train Station,Fast Food Restaurant
51,Jalandhar,Punjab,862196.0,31.29201065,75.56805772253911,0,Food Hubs,Pizza Place,Fast Food Restaurant,Sandwich Place,Café,Hotel,Shopping Mall,Burger Joint,American Restaurant,Neighborhood,Clothing Store
52,Tiruchirappalli,Tamil Nadu,846915.0,10.804973,78.6870296,4,Indian Cuisine Restaurants,Indian Restaurant,Multiplex,Ice Cream Shop,Hotel,Train Station,Italian Restaurant,Restaurant,Asian Restaurant,Shopping Mall,Burger Joint
53,Bhubaneswar,Odisha,837737.0,20.2667774,85.8435592,0,Food Hubs,Coffee Shop,Hotel,Fast Food Restaurant,Pizza Place,Shopping Mall,Italian Restaurant,Indian Restaurant,Asian Restaurant,Multiplex,Clothing Store
54,Salem,Tamil Nadu,831038.0,11.661201199999999,78.1602498,4,Indian Cuisine Restaurants,Indian Restaurant,Multiplex,Ice Cream Shop,Bakery,Indie Movie Theater,Chinese Restaurant,Southern / Soul Food Restaurant,Shopping Mall,Fast Food Restaurant,Café
55,Warangal,Telangana,819429.0,17.9806094,79.5982115,0,Food Hubs,Historic Site,Indian Restaurant,Hotel,Multiplex,Ice Cream Shop,Pizza Place,Department Store,Sake Bar,Shopping Mall,Fast Food Restaurant
56,Mira-Bhayandar,Maharashtra,814655.0,19.295542899999997,72.8573593,0,Food Hubs,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Restaurant,Gym,Seafood Restaurant,Dessert Shop,Coffee Shop,Water Park,Historic Site
57,Thiruvananthapuram,Kerala,752490.0,8.5058909,76.9570481,0,Food Hubs,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Movie Theater,Coffee Shop,Bakery,Hotel,Restaurant,Burger Joint,Multiplex
58,Bhiwandi,Maharashtra,711329.0,19.3625308,73.07847467842203,4,Indian Cuisine Restaurants,Indian Restaurant,Vegetarian / Vegan Restaurant,Hookah Bar,Fast Food Restaurant,Park,Chinese Restaurant,Restaurant,Snack Place,Comfort Food Restaurant,Airport Lounge
59,Saharanpur,Uttar Pradesh,703345.0,29.988077399999998,77.5081299470512,0,Food Hubs,ATM,Pizza Place,Hotel,Clothing Store,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market
60,Guntur,Andhra Pradesh,651382.0,16.2915189,80.4541588,0,Food Hubs,Ice Cream Shop,Indian Restaurant,Hotel,Bus Station,Indie Movie Theater,Andhra Restaurant,Bakery,Fast Food Restaurant,Market,Mattress Store
61,Bikaner,Rajasthan,644406.0,28.015928600000002,73.3171367,0,Food Hubs,Hotel,Historic Site,Indian Restaurant,Train Station,Fast Food Restaurant,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
62,Noida,Uttar Pradesh,642381.0,28.5726442,77.3547609,0,Food Hubs,Indian Restaurant,Café,Fast Food Restaurant,Shopping Mall,Chinese Restaurant,Coffee Shop,Clothing Store,Multiplex,Lounge,Bakery
63,Jamshedpur,Jharkhand,629659.0,22.8015194,86.2029579,0,Food Hubs,Hotel,Indian Restaurant,Café,Sandwich Place,Bakery,Pizza Place,Multiplex,Market,Italian Restaurant,Park
64,Bhilai Nagar,Chhattisgarh,625697.0,21.200996,81.3354264,0,Food Hubs,Café,Pizza Place,Shopping Mall,Hotel,Sculpture Garden,Food & Drink Shop,Food,Food Court,Flea Market,Fish & Chips Shop
65,Cuttack,Odisha,606007.0,20.4686,85.8792,0,Food Hubs,Zoo,Resort,Harbor / Marina,Train Station,Restaurant,Park,Sculpture Garden,Cricket Ground,Food & Drink Shop,Event Space
66,Kochi,Kerala,601574.0,9.931308,76.2674136,0,Food Hubs,Hotel,Indian Restaurant,Café,Art Gallery,Bar,Fast Food Restaurant,Performing Arts Venue,Seafood Restaurant,Indie Movie Theater,Bakery
67,Udaipur,Rajasthan,598483.0,24.578720999999998,73.6862571,0,Food Hubs,Hotel,Resort,Indian Restaurant,Restaurant,Café,History Museum,Women's Store,Museum,Bus Station,Scenic Lookout
68,Bhavnagar,Gujarat,593768.0,21.771883600000002,72.1416449,0,Food Hubs,Café,Shopping Mall,Asian Restaurant,Pizza Place,Multiplex,Garden,Fast Food Restaurant,Fabric Shop,Factory,Falafel Restaurant
69,Dehradun,Uttarakhand,578420.0,30.3255646,78.0436813,0,Food Hubs,Café,Fast Food Restaurant,Multiplex,Pizza Place,Shopping Mall,Flea Market,Indian Restaurant,Thai Restaurant,Tea Room,Bakery
70,Asansol,West Bengal,564491.0,23.6871297,86.9746587,0,Food Hubs,Fast Food Restaurant,Train Station,Shopping Mall,River,Women's Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
71,Nanded-Waghala,Maharashtra,550564.0,19.169335,77.311013,0,Food Hubs,Airport Terminal,Multiplex,Sikh Temple,Juice Bar,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
72,Ajmer,Rajasthan,542580.0,26.4691,74.639,0,Food Hubs,Hotel,Indian Restaurant,Vegetarian / Vegan Restaurant,Pizza Place,Lake,Café,Bakery,Restaurant,Italian Restaurant,Coffee Shop
73,Jamnagar,Gujarat,529308.0,22.4732415,70.0552102,0,Food Hubs,Hotel,Café,Train Station,Multiplex,Smoke Shop,Shopping Mall,General Travel,Indian Restaurant,Pizza Place,Cupcake Shop
74,Ujjain,Madhya Pradesh,515215.0,23.174597,75.78514229999999,0,Food Hubs,Pizza Place,Train Station,Bed & Breakfast,Shopping Mall,Women's Store,Field,Factory,Falafel Restaurant,Farm,Farmers Market
75,Sangli,Maharashtra,513862.0,16.8502534,74.5948885,0,Food Hubs,Ice Cream Shop,Indian Restaurant,Bus Station,Pizza Place,Coffee Shop,Shopping Mall,Train Station,Women's Store,Fast Food Restaurant,Factory
76,Loni,Uttar Pradesh,512296.0,28.7317295,77.29009190000001,0,Food Hubs,Café,Italian Restaurant,Athletics & Sports,Fast Food Restaurant,Clothing Store,Coffee Shop,Big Box Store,Boutique,Monument / Landmark,Indian Restaurant
77,Jhansi,Uttar Pradesh,507293.0,25.53103115,78.65268901605349,1,Stations,Train Station,Dhaba,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
78,Pondicherry,Puducherry,505959.0,11.934056800000002,79.83064470000001,0,Food Hubs,Café,Hotel,Indian Restaurant,Bakery,Pizza Place,Restaurant,Italian Restaurant,Beach,Ice Cream Shop,Coffee Shop
79,Nellore,Andhra Pradesh,505258.0,14.4493717,79.9873763,0,Food Hubs,Indian Restaurant,Food Court,Shopping Mall,Multiplex,Pizza Place,Hotel,Bakery,Men's Store,Watch Shop,Food
80,Jammu,Jammu and Kashmir,503690.0,32.7185614,74.8580917,0,Food Hubs,Pizza Place,Indian Restaurant,Shopping Mall,Airport,Market,Hotel,Multiplex,Coffee Shop,Café,Bed & Breakfast
81,Belagavi,Karnataka,488292.0,15.857266599999999,74.5069343,0,Food Hubs,Café,Hotel,Bakery,Indian Restaurant,Restaurant,Coffee Shop,Italian Restaurant,Sandwich Place,Asian Restaurant,Health & Beauty Service
82,Raurkela,Odisha,484874.0,22.2539994,84.8577520139704,0,Food Hubs,Café,Ice Cream Shop,Hotel,Train Station,Restaurant,Women's Store,Farmers Market,Event Space,Exhibit,Fabric Shop
83,Mangaluru,Karnataka,484785.0,12.869810099999999,74.8430082,0,Food Hubs,Seafood Restaurant,Ice Cream Shop,Indian Restaurant,Hotel,Lounge,Shopping Mall,Snack Place,Fast Food Restaurant,Café,Italian Restaurant
84,Tirunelveli,Tamil Nadu,474838.0,8.8082342,77.8114843,2,ATM Hubs,ATM,Airport,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
85,Malegaon,Maharashtra,471006.0,20.590250150000006,74.5714979275197,0,Food Hubs,Bus Station,Indian Restaurant,North Indian Restaurant,Mobile Phone Shop,Dhaba,Field,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
86,Gaya,Bihar,463454.0,24.7964355,85.0079563,0,Food Hubs,Historic Site,ATM,Platform,Fried Chicken Joint,Airport,Moving Target,Resort,Women's Store,Factory,Falafel Restaurant
87,Tiruppur,Tamil Nadu,444543.0,10.78322705,77.52604780096844,0,Food Hubs,Southern / Soul Food Restaurant,Movie Theater,Indian Restaurant,Bus Station,Bakery,Café,Field,Factory,Falafel Restaurant,Farm
88,Davanagere,Karnataka,435128.0,14.4661266,75.9206361,4,Indian Cuisine Restaurants,Indian Restaurant,Coffee Shop,Breakfast Spot,Lake,Fast Food Restaurant,Restaurant,Café,Clothing Store,Resort,Pizza Place
89,Kozhikode,Kerala,432097.0,11.2446144,75.7759372,0,Food Hubs,Indian Restaurant,Movie Theater,Café,Asian Restaurant,Ice Cream Shop,Hotel,Coffee Shop,Kerala Restaurant,Shopping Mall,Beach
90,Akola,Maharashtra,427146.0,20.7618624,77.19217162524623,1,Stations,Mobile Phone Shop,Train Station,Fast Food Restaurant,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
91,Kurnool,Andhra Pradesh,424920.0,15.830925099999998,78.0425373,4,Indian Cuisine Restaurants,Indian Restaurant,Bus Station,Multiplex,Shopping Mall,Women's Store,Field,Factory,Falafel Restaurant,Farm,Farmers Market
92,Bokaro Steel City,Jharkhand,413934.0,23.6579595,86.0839161,0,Food Hubs,Lake,Airport,Train Station,Market,Women's Store,Field,Factory,Falafel Restaurant,Farm,Farmers Market
93,Rajahmundry,Andhra Pradesh,413616.0,17.0050454,81.7804732,4,Indian Cuisine Restaurants,Indian Restaurant,Arcade,Hotel,Motel,Multiplex,Department Store,Pizza Place,Café,Train Station,Indie Movie Theater
94,Ballari,Karnataka,409644.0,15.2485413,76.8323648,0,Food Hubs,Diner,Resort,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
95,Agartala,Tripura,399688.0,23.8312377,91.2823821,1,Stations,Train Station,Salad Place,Coffee Shop,Men's Store,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant,Farm
96,Bhagalpur,Bihar,398138.0,25.28669805,87.13225355111149,0,Food Hubs,Market,Women's Store,French Restaurant,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
97,Latur,Maharashtra,382754.0,18.35146855,76.7551212230513,3,Mobile Stores and Women utility,Mobile Phone Shop,Vegetarian / Vegan Restaurant,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
98,Brahmapur,Odisha,355823.0,19.3098134,84.7971562,2,ATM Hubs,ATM,Indian Restaurant,Hotel,Pizza Place,Shopping Mall,Motorcycle Shop,Train Station,Convenience Store,Hotel Bar,Electronics Store
99,Mysore,Karnataka,351838.0,12.3051828,76.6553609,0,Food Hubs,Indian Restaurant,Shopping Mall,Café,Hotel,Juice Bar,Breakfast Spot,Dessert Shop,Restaurant,Zoo,Chinese Restaurant
100,Muzaffarpur,Bihar,351838.0,26.148658100000002,85.34001282479626,0,Food Hubs,Convenience Store,ATM,Ice Cream Shop,Multiplex,Market,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market
101,Ahmednagar,Maharashtra,350905.0,19.162772500000006,74.85802430085195,4,Indian Cuisine Restaurants,Indian Restaurant,ATM,Monument / Landmark,Mobile Phone Shop,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
102,Kollam,Kerala,349033.0,8.8879509,76.5955013,0,Food Hubs,Beach,Restaurant,Resort,Indian Restaurant,Movie Theater,Train Station,Playground,Spa,Shopping Mall,Bus Station
103,Raghunathganj,West Bengal,346854.0,24.4615088,88.0665362,3,Mobile Stores and Women utility,Basketball Court,ATM,Mobile Phone Shop,Women's Store,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
104,Shahjahanpur,Uttar Pradesh,321885.0,27.91263315,79.74656294869827,2,ATM Hubs,ATM,Indian Restaurant,North Indian Restaurant,Food & Drink Shop,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
105,Thrissur,Kerala,315596.0,10.5256264,76.21325420000001,0,Food Hubs,Indian Restaurant,Train Station,Multiplex,Movie Theater,Vegetarian / Vegan Restaurant,Clothing Store,Fast Food Restaurant,Campground,Restaurant,BBQ Joint
106,Alwar,Rajasthan,315310.0,27.63907705,76.6144524902045,0,Food Hubs,Skate Park,Platform,Pizza Place,Clothing Store,Shopping Mall,Women's Store,Fabric Shop,Factory,Falafel Restaurant,Farm
107,Kakinada,Andhra Pradesh,312255.0,16.943738500000002,82.2350607,0,Food Hubs,Multiplex,Hotel,Indian Restaurant,Department Store,Bakery,Asian Restaurant,Coffee Shop,Lounge,Boat or Ferry,Pizza Place
108,Nizamabad,Telangana,310467.0,18.75,78.25,2,ATM Hubs,ATM,Currency Exchange,Pharmacy,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
109,Sagar,Madhya Pradesh,308922.0,23.80961225,78.75911360578634,0,Food Hubs,Electronics Store,Train Station,Pizza Place,Women's Store,Fast Food Restaurant,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
110,Tumkur,Karnataka,305821.0,13.3400771,77.1006208,4,Indian Cuisine Restaurants,Indian Restaurant,Toll Plaza,Hotel Bar,Restaurant,Coffee Shop,Café,Pizza Place,Food Court,Event Space,Exhibit
111,Hisar,Haryana,301249.0,29.168807,75.7461103,4,Indian Cuisine Restaurants,Indian Restaurant,Train Station,Ice Cream Shop,Snack Place,Pizza Place,Asian Restaurant,Market,Field,Factory,Falafel Restaurant
112,Rohtak,Haryana,294577.0,28.9010899,76.58019350000001,0,Food Hubs,Motorcycle Shop,ATM,Multiplex,Fast Food Restaurant,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
113,Panipat,Haryana,294150.0,29.391275300000004,76.97716750000001,0,Food Hubs,Indian Restaurant,Shopping Mall,Hotel,Fast Food Restaurant,Train Station,Restaurant,Toll Plaza,Pizza Place,Event Space,Fabric Shop
114,Darbhanga,Bihar,294116.0,26.08314325,86.03257096612822,0,Food Hubs,Music Store,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
115,Kharagpur,West Bengal,293719.0,22.34309,87.3012875,0,Food Hubs,Train Station,Café,Fast Food Restaurant,North Indian Restaurant,Hotel,Vegetarian / Vegan Restaurant,Exhibit,Fabric Shop,Factory,Falafel Restaurant
116,Aizawl,Mizoram,291822.0,23.7414092,92.7209297,0,Food Hubs,Hotel,Furniture / Home Store,Shopping Mall,Park,Restaurant,Women's Store,Farmers Market,Exhibit,Fabric Shop,Factory
117,Ichalkaranji,Maharashtra,287570.0,16.6959348,74.4555755,0,Food Hubs,ATM,Mobile Phone Shop,Boutique,Fast Food Restaurant,Train Station,Multiplex,Women's Store,Fish & Chips Shop,Falafel Restaurant,Farm
118,Tirupati,Andhra Pradesh,287035.0,13.631636800000003,79.42317109999999,0,Food Hubs,Hotel,Indian Restaurant,Train Station,Deli / Bodega,Bar,Restaurant,Trail,Bed & Breakfast,Multiplex,Department Store
119,Karnal,Haryana,286974.0,29.6803266,76.98962540000001,0,Food Hubs,Indian Restaurant,Food Court,Sandwich Place,Hotel,Resort,Fast Food Restaurant,Coffee Shop,Café,Women's Store,Farm
120,Bathinda,Punjab,285813.0,30.17911535,75.04710156312628,0,Food Hubs,Sandwich Place,Ice Cream Shop,Clothing Store,Café,Fast Food Restaurant,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant
121,Rampur,Uttar Pradesh,281494.0,28.79406825,79.1859304458554,0,Food Hubs,Dhaba,Farm,Women's Store,Event Space,Fabric Shop,Factory,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Field
122,Shivamogga,Karnataka,274352.0,13.9311723,75.569737,4,Indian Cuisine Restaurants,Indian Restaurant,Hotel,Basketball Court,Snack Place,Food,Park,Women's Store,Fabric Shop,Factory,Falafel Restaurant
